Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD029082	proteogenomic discovery of neoantigens facilitates personalized multi-antigen targeted t cell immunotherapy for brain tumors	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Brian R Rood	2021-11-02	pediatric brain tumors, medulloblastoma, lc-msms, 
PXD022038	a novel tubulin binding molecule drives differentiation of acute myeloid leukaemia cells	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Prof. Edward Tate	2021-11-02	cancer (b/d-hpp), biology/disease-driven human proteome project (b/d-hpp), human proteome project, aml, tubulin, differentiation, 
PXD026939	highly multiplexed quantitative phosphosite assay for biology and preclinical studies	PanoramaPublic	homo sapiens	TSQ Quantiva	34569154	Carr	2021-10-08	proteomics, post-translational modifications, targeted mass spectrometry, multiple reaction monitoring, selected reaction monitoring, breast cancer, medulloblastoma, cptac, 
PXD022216	the proteome landscape of chronic lymphocytic leukemia	PRIDE	homo sapiens 	timsTOF Pro	34189564	Ben Collins	2021-09-27	leukemia, cll, diapasef, 
PXD022198	the proteome landscape of chronic lymphocytic leukemia (cll)	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	34189564	Thorsten Zenz	2021-09-24	chronic lymphocytic leukemia, dia-ms, lumos, human, 
PXD021738	inhibition of cbp synergizes with the rna-dependent mechanisms of azacitidine by limiting protein translation	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Marcus Buschbeck	2021-09-22	myelodysplastic syndromes, secondary acute myeloid leukemia, clonal hematopoietic disorders, hypomethylating agents, azacitidine, epigenetic regulation, lysine acetyl tranferase inhibitors, creb binding protein / cbp / p300, shrna scree
PXD023150	quantitative proteomics identifies ml111 as a cell-cycle inhibitor	MassIVE	homo sapiens	Orbitrap Fusion	no publication	Mark Leid	2021-09-16	ewing sarcoma, ml111, quantitative mass spectroscopy, isobaric tag, drug discovery, 
PXD022187	bioid hek293t pax3-foxo1 proximity labelling	PRIDE	homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Beat Sch�fer	2021-09-16	rhabdomyosarcoma, pax3-foxo1, bioid, bira, 
PXD027687	its2 sequencing and targeted meta-proteomics of infant gut mycobiome reveal the functional role of rhodotorula sp. during atopic dermatitis manifestation	jPOST	homo sapiens 	Q-Tof Ultima	Dataset with its publication pending	Massalin Nakphaicit	2021-09-14	mycobiome, meta-proteomics, atopic dermatitis, gut-skin axis, fungi, rhodotorula, 
PXD022512	potential biomarkers of childhood brain tumor identified by proteomics of cerebrospinal fluid from  extraventricular drainage (evd)	PRIDE	homo sapiens 	Orbitrap Fusion	33469081	Andrea Petretto	2021-09-09	biomarker, cerebrospinal fluid, extraventricular drainage, pediatric central nervous system tumors., 
PXD022351	inhibition of tryptophan 2,3-dioxygenase impairs dna damage tolerance and repair in glioma cells	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	33870196	Robert L. Eoff	2021-09-09	dna damage, dna replication, dna repair, kynurenine, replication stress, tryptophan 2,3-dioxygenase, 
PXD022057	elucidation of bmi1, rybp and h2ak119ub interactomes in glioblastoma	PRIDE	homo sapiens 	Q Exactive Plus	34316702	Pedro R Cutillas	2021-09-09	glioblastoma, gbm, bmi1, rybp, h2ak119ub, ipms, chipms, lc-ms/ms, proteomics, 
PXD021990	collagen fiber regulation in human pediatric aortic valve development and disease	PRIDE	homo sapiens 	LTQ Orbitrap Elite	33963260	Peggi Angel	2021-09-09	collagen, aortic valve stenosis, 
PXD021562	cooperative treatment effectiveness of ve821 and auy922 in ewing’s sarcoma cells	PRIDE	homo sapiens 	Q Exactive HF-X	33743824	Zhao-Qi Wang	2021-09-09	ewing's sarcoma, 
PXD020844	quantitative lc-ms/ms proteomics of paediatric human liver microsomes	PRIDE	homo sapiens 	Q Exactive HF	33128234	Jill Barber	2021-09-09	human, paediatric livers, lc-ms/ms, quantitative proteomics, 
PXD020974	quantitative lc-ms/ms proteomics of paediatric biliary atresia human liver microsomes	PRIDE	homo sapiens 	Q Exactive HF	33128234	Jill Barber	2021-09-09	human, biliary atresia, paediatric livers, lc-ms/ms, quantitative proteomics, 
PXD020939	quantitative lc-ms/ms proteomics of paediatric human liver microsomes (set 2)	PRIDE	homo sapiens 	Q Exactive HF	33128234	Jill Barber	2021-09-08	human, paediatric livers, lc-ms/ms, quantitative proteomics, 
PXD019496	o-glcnacase activity is necessary for the molecular signature of the glioblastoma secretome	PRIDE	homo sapiens 	Q Exactive	33902430	F�bio C�sar Sousa Nogueira	2021-09-08	glioblastoma secretome, lcms, o-glcnacase activity, 
PXD016488	proteomic profiling of retinoblastoma-derived exosomes reveals potential biomarkers of vitreous seeding	PRIDE	homo sapiens 	Orbitrap Fusion ETD	32545553	Andrea Petretto	2021-09-08	retinoblastoma, exosomes, proteomics, biomarkers, 
PXD017508	the pan-sirtuin inhibitor mc2494 regulates mitochondrial function in a leukemia cell line	PRIDE	homo sapiens 	Q Exactive HF	32528892	Angela Chambery	2021-09-08	sirtuins, mitochondria, leukemia, orbitrap q-exactive, human, 
PXD014855	identifying alterations post ilk inhibition in meningioma cell lines	PRIDE	homo sapiens 	Orbitrap Fusion	32974197	SANJEEVA SRIVASTAVA	2021-09-08	human ben-men1 meningioma ilk cpd22, 
PXD013408	phosphoproteomics of induced and inhibited early hh signaling in human medulloblastoma cells	PRIDE	homo sapiens 	Q Exactive	32576205	Christian G. Huber	2021-09-08	hedgehog signaling, phosphorylation, phosphoproteomics, medulloblastoma, daoy cells, 
PXD013987	u2os osteosarcoma cells lc-msms	PRIDE	homo sapiens 	Q Exactive	34476004	Jianlin Zhou	2021-09-08	osteosarcoma, u2os, lc-msms, mir-193a-5p, 
PXD013696	a core proliferative program induced by b-cell receptor stimulation in chronic lymphocytic leukemia cells	PRIDE	homo sapiens 	Q Exactive	33833385	Christine CARAPITO	2021-09-08	human, cll, transcriptomic, proteomic, 
PXD012795	proteomic analysis of raptor-proximal proteins in u2os cells	PRIDE	homo sapiens 	Q Exactive	33635313	Viktor I Korolchuk	2021-09-08	human, osteosarcoma, proximity labelling, proximity-based biotinylation, bioid, bioid2, mtorc1, raptor, ms, lc-ms/ms, q exactive plus, 
PXD011683	the development of minimal invasive therapy of non-hodgkin's lymphoma based on optical tweezers technology.	PRIDE	homo sapiens 	Q Exactive	33562532	Jacek R Wisniewski	2021-09-08	technical, biomedical, optical tweezers, cell-to-cell adhesion, non-hodgkin’s lymphoma, cellular adhesion molecules (cams), lc-ms/ms., 
PXD027221	treatment of human k562 chronic myelogenous leukemia cells with nk3.3-derived extracellular vesicles	PRIDE	homo sapiens 	Q Exactive HF	34368150	Jacki Kornbluth	2021-09-07	cancer (b/d-hpp), biology/disease-driven human proteome project (b/d-hpp), human proteome project, natural killer cell, extracellular vesicle, nklam, rnf19b, nk3.3, ubiquitin ligase, leukemia, exosome, micro
PXD027051	proteomic analysis of nk3.3-derived extracellular vesicles	PRIDE	homo sapiens 	Q Exactive HF; nanoACQUITY UPLC with HDX Technology	34368150	Dr. Jacki Kornbluth	2021-09-07	natural killer cell, extracellular vesicle, nklam, rnf19b, nk3.3, ubiquitin ligase, leukemia, exosome, extracellular vesicle, 
PXD014853	mining meningioma proteomics alterations using ip ms	PRIDE	homo sapiens 	Q Exactive	32974197	SANJEEVA SRIVASTAVA	2021-08-30	human immunoprecipitation ms-ms, 
PXD024229	associations between cellular energy and pediatric inflammatory bowel disease patient response to treatment	PRIDE	homo sapiens 	LTQ Orbitrap Elite	34424714	Daniel Figeys	2021-08-26	inflammatory bowel disease, proteomics, pediatric, 
PXD023757	investigating the target and off-target landscape of plk1 small molecule inhibitor volasertib	PRIDE	homo sapiens 	Q Exactive HF	FJ.202100457RR	Rozbeh Jafari	2021-08-23	drug,tpp, lc-ms, leukemia, 
PXD024040	investigating the target and off-target landscape of plk1 small molecule inhibitor volasertib	PRIDE	homo sapiens 	Q Exactive HF	FJ.202100457RR	Rozbeh Jafari	2021-08-23	volasertib,lc-ms, leukemia, plk1, 
PXD021012	dia-ms based proteome analysis of hl-60 cells treated with new anti-cancer drug (tas4464)	jPOST	homo sapiens 	Q Exactive HF-X	33420360	Tomoaki Tanaka	2021-08-19	nae inhibitor, leukemia, 
PXD027182	neuroblastoma hla class i immunopeptidomics	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	34732890	John M. Maris	2021-08-11	neuroblastoma immunopeptidomics, hla class i, tumor antigens, phox2b, 
PXD027740	enhancer recruitment of transcription repressors runx1 and tle3 by mis-expressed foxc1 blocks differentiation in acute myeloid leukemia	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Tim Somervaille	2021-08-09	acute myeloid leukemia, foxc1, runx1, tle3, groucho, 
PXD022329	unbiased proteomic and phosphoproteomic analysis identifies response signatures and novel susceptibilities after combined mek and mtor inhibition in brafv600e mutant glioma	PRIDE	mus musculus , homo sapiens 	Orbitrap Fusion Lumos	34298159	Micah Joel Maxwell	2021-07-29	glioma, braf v600e, trametinib, tak228, sapanisertib, ink128, mln0128, 
PXD020484	the non-canonical parp1 inhibitor target, parp16, contributes to talazoparib polypharmacology and synergy with wee1 inhibitors: phosphoproteomics	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Uwe Rix, PhD	2021-07-21	parp inhibitor, parp16, talazoparib, adavosertib, parp1, phosphoproteomics, polypharmacology, off-target, lung cancer, ewing’s sarcoma, 
PXD020455	the non-canonical parp1 inhibitor target, parp16, contributes to talazoparib polypharmacology and synergy with wee1 inhibitors: chemical proteomics	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Uwe Rix, PhD	2021-07-21	parp inhibitor, parp16, talazoparib, adavosertib, parp1, proteomics, polypharmacology, off-target, lung cancer, ewing’s sarcoma, 
PXD026789	calcitriol promotes differentiation of glioma stem-like cells and increases their susceptibility to temozolomide	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Christian M�nch	2021-07-18	calcitriol, vitamin d3, glioblastoma, glioblastoma stem-like cells, 
PXD016052	human a673 ewing sarcoma secretome - effect of ews-fli-1 silencing	PRIDE	homo sapiens 	LTQ Orbitrap Velos	34233189	Yuzuru Shiio	2021-07-05	ewing sarcoma, secretome, ews-fli-1, gelc-ms/ms, 
PXD024072	plasma-derived exosomes from healthy and osteosarcoma	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Liang Qiao	2021-07-02	lc-ms/ms, exosomes, proteomics analysis, 
PXD026438	activated interleukin-7 receptor signaling drives b-cell acute lymphoblastic leukemia in mice	PRIDE	mus musculus , homo sapiens 	Q Exactive	Dataset with its publication pending	Richard James	2021-06-28	cancer, leukemia, il7, phosphoproteomics, prm, 
PXD024802	bag3 suppresses ciliogenesis by regulating levels of ofd1	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Ivan Dikic	2021-06-21	glioblastoma cells, phosphoproteome, proteome, bag3, ciliogenesis, ofd1, 
PXD018365	the usp7-trim27 axis as part of non-canonical prc1.1 is a druggable target in leukemia	PRIDE	homo sapiens 	Q Exactive	34113809	Jan Jacob Schuringa	2021-06-14	leukemia, polycomb, prc1.1, usp7, trim27, 
PXD019369	adipocytes alter the all translational programme to enhance their dormancy and stress resistance.	PRIDE	homo sapiens 	Q Exactive Plus	Dataset with its publication pending	Faraz Mardakheh	2021-06-14	acute lymphoblastic leukaemia (all), adipocyte niche, translation, stress resistance, 
PXD012791	mapping the invasive network of glioblastoma by proteomics from laser-capture microdissected samples	PRIDE	mus musculus , homo sapiens 	Q Exactive	32642662	Thomas Daubon	2021-06-10	glioblastoma, tumour cell invasion, quantitative proteomics, 
PXD009666	proteomic response of diffuse midline glioma to hdac inhibition reveals adjuvant anti-ebp50 therapy as novel therapeutic concept.	PRIDE	homo sapiens 	Q Exactive	31711240	Martin Hagedorn	2021-06-10	biomedical, dmg, diffuse midline glioma, hdac inhibition, ebp50, ezrin-radixin-moesin binding protein 50, label-free quantitative proteome analysis., 
PXD019186	adipocytes disrupt the translational programme of acute lymphoblastic leukaemia to favour tumour survival and persistence	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Dr Pedro R Cutillas	2021-06-09	acute lymphoblastic leukaemia (all), adipocyte niche, translation, stress resistance, 
PXD026503	comprehensive proteomic profiling and identification of potential hub genes  in primary and recurrent glioblastoma multiforme	iProX	homo sapiens	Orbitrap Fusion Lumos	Dataset with its publication pending	Huijuan Wang	2021-06-06	proteomics,primary glioblastoma multiforme,recurrence,ckap4,uqcrc1, 
PXD023207	identification of pimavanserin tartrate as a potent ca2+-calcineurin-nfat pathway inhibitor for glioblastoma therapy	iProX	homo sapiens	Q Exactive HF	Dataset with its publication pending	Prof. Ping Li	2021-06-03	glioblastoma multiforme，pimavanserin, 
PXD026405	chronic lymphocytic leukemia b cells lc-ms/ms	MassIVE	homo sapiens	MALDI SYNAPT G2-Si	no publication	Bagacean Cristina	2021-06-03	cll, b cells, lc-ms/ms, 
PXD018069	child murder in the early bronze age: proteomic sex identification of a cold case from schleinbach, austria	PRIDE	homo sapiens 	Q Exactive	33123298	Christopher Gerner	2021-06-01	bronze age, infanticide, impression fractures, otitis, proteomic sex identification, peptides, 
PXD019009	il1rap augments cysteine metabolism to promote ferroptosis resistance and metastasis in ewing sarcoma	PRIDE	mus musculus , homo sapiens 	Orbitrap Fusion ETD	34021002	Poul Sorensen	2021-05-25	il1rap, cysteine metabolism, tmt, ewing sarcoma, 
PXD023685	severe consequences of a high-lipid diet include hydrogen sulfide dysfunction and disease aggression in glioblastoma	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Christopher Hine	2021-05-25	glioblastoma, cancer stem cells, metabolism, diet, hydrogen sulfide, 
PXD023457	proteomic analysis of u251 mg glioblastoma cells in the presence and absence of α-fodrin	PRIDE	homo sapiens 	Synapt MS	Dataset with its publication pending	Dr.Suparna sengupta	2021-05-24	u251 mg glioblastoma cells,shrna,α-fodrin,lc-ms, 
PXD025756	proteomic profiling of primary cll using mass-spectrometry	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Thorsten Zenz	2021-05-03	chronic lymphocytic leukemia, dia-ms, lumos, human, 
PXD014950	medulloblastoma label free proteome analysis from an indian subpopulation	PRIDE	homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Dr.Sanjeeva Srivastava	2021-04-30	medulloblastoma, tissue, 
PXD020045	identification of cebpa and runx1 interactors in 3q-rearranged aml	PRIDE	homo sapiens 	LTQ Orbitrap Velos	Dataset with its publication pending	Stefan Gr�schel	2021-04-28	human, acute myeloid leukemia, chip-sicap, cebpa, runx1, 
PXD020054	identification of cebpa and runx1 interactors in 3q-rearranged aml (hnt-34)	PRIDE	homo sapiens 	LTQ Orbitrap Velos	Dataset with its publication pending	Stefan Gr�schel	2021-04-28	human, acute myeloid leukemia, chip-sicap, cebpa, runx1, 
PXD020050	identification of cebpa and runx1 interactors in 3q-rearranged aml (molm-1)	PRIDE	homo sapiens 	LTQ Orbitrap Velos	Dataset with its publication pending	Stefan Gr�schel	2021-04-28	human, acute myeloid leukemia, chip-sicap, cebpa, runx1, 
PXD023932	abhd17 regulation of plasma membrane palmitoylation and n-ras-dependent cancer growth	PRIDE	homo sapiens 	Orbitrap Fusion Lumos; Orbitrap Fusion	33927411	Benjamin F. Cravatt	2021-04-27	n-ras, palmitoylation, abhd17, human acute myeloid leukemia, 
PXD020441	global phosphoproteomics of dyrk1a inhibition in glioblastoma cells	PRIDE	homo sapiens 	Q Exactive HF-X	S41420-021-00456-6	Sean Humphrey	2021-04-21	glioblastoma, proteomics, u251, dyrk1a, phosphoproteome, post-translational modification, mass spectrometry, signal transduction, phosphorylation,cancer, phosphoproteomics, 
PXD020186	the hla-ligand-atlas. a resource of natural hla ligands presented on benign tissues	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	33858848	Hans-Georg Rammensee	2021-04-16	human, glioblastoma, hla, immunopeptidomics, 
PXD025114	targeting ifn-γ-inducible lysosomal thiol reductase overcomes chemoresistance in aml through regulating the ros-mediated mitochondrial damage	iProX	homo sapiens	Q Exactive HF-X	Dataset with its publication pending	Xiao-Jun Huang	2021-04-14	aml, chemoresistance, lsc, gilt, ros, mitochondrial damage, nrf2, 
PXD020389	proteomics of late signaling responses decipher the roles of cbl and cbl-b in neuroblastoma cell differentiation	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Jesper Velgaard Olsen	2021-03-30	epic-xs, human, lc-msms, neuroblastoma, cbl, cblb, 
PXD013573	a core proliferative program induced by b-cell receptor stimulation in chronic lymphocytic leukemia cells	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Sarah CIANFERANI	2021-03-29	leukemogenesis, b-cell receptor (bcr), lymphoproliferation, chronic lymphocytic leukemia (cll), transcriptome and proteome, temporal response, mathematical modelling, machine learning, biological network reverse-engineering, cellular pr
PXD021984	proteomic characterization of cerebrospinal fluid in patients with brain malignancies	PRIDE	homo sapiens 	Q Exactive HF	33735443	Wolfgang Wick	2021-03-25	proteome, glioblastoma, brain tumor, biomarker, 
PXD020018	identification of samd9 and samd9l interactome in hek293t cells	PRIDE	homo sapiens 	LTQ Orbitrap Elite	33731850	Jeffery Klco	2021-03-24	samd9, samd9l, pediatric mds, proteomics, 
PXD018542	lc-msms of primary aml class i immunopeptidome (ere-derived maps identification approach)	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Pierre Thibault	2021-03-18	aml, lc-msms, mhc class i, immunopeptidome, 
PXD018539	lc-msms of primary aml class i immunopeptidome (mtecs+mpcs k-mer depletion approach)	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Pierre Thibault	2021-03-18	aml, lc-msms, mhc class i, immunopeptidome, 
PXD018543	lc-msms of primary aml class i immunopeptidome (differential k-mer expression approach)	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Pierre Thibault	2021-03-18	aml, lc-msms, mhc class i, immunopeptidome, 
PXD018540	lc-msms of primary aml class i immunopeptidome (mtecs k-mer depletion approach)	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Pierre Thibault	2021-03-18	aml, lc-msms, mhc class i, immunopeptidome, 
PXD018541	lc-msms of primary aml class i immunopeptidome (canonical personalized proteome)	PRIDE	homo sapiens 	Q Exactive HF	Dataset with its publication pending	Pierre Thibault	2021-03-18	aml, lc-msms, mhc class i, immunopeptidome, 
PXD024842	central nervous system immune response in postinfectious hydrocephalus	MassIVE	homo sapiens	Q Exactive Plus	no publication	R. Reid Townsend	2021-03-18	cerebrospinal fluid, hydrocephalus, infant, 
PXD023377	integrative network analysis reveals usp7 haploinsufficiency inhibits e-protein activity in pediatric t-lineage acute lymphoblastic leukemia (t-all)	PRIDE	homo sapiens 	LTQ Orbitrap Elite	33664368	Jinghui Zhang	2021-03-16	t-all, usp7, tal1, 
PXD023139	full proteome analysis of wt and ezh2-ko k562 cells	PRIDE	homo sapiens 	Orbitrap Exploris 480	33692543	Heinrich Leonhardt	2021-03-12	aml, ezh2, epigenetics, human, k562, cytarabine, 
PXD022217	schwann cell plasticity regulates neuroblastic tumor cell differentiation - phosphoproteomics	PRIDE	homo sapiens 	timsTOF Pro	Dataset with its publication pending	Christopher Gerner	2021-03-04	schwann cell, plasticity, stroma, neuroblastoma, ganglioneuroma, egfl8, phosphoproteomics, 
PXD013285	human nk cell line lc-msms -  recurrent gnaq mutation encoding t96s in natural killer/t cell lymphoma	PRIDE	homo sapiens 	TripleTOF 5600	31527657	Zhaoming Li	2021-03-04	human, nk cell line, lc-msms, 
PXD018267	schwann cell plasticity regulates neuroblastic tumor cell differentiation	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Christopher Gerner	2021-03-04	schwann cell, plasticity, stroma, neuroblastoma, ganglioneuroma, egfl8, 
PXD015074	human glioma cell-line proteomics upon treatment with different drugs	PRIDE	homo sapiens 	Q Exactive	33461384	Christian M�nch	2021-02-25	biological, human, glioma, qexactive hf, tmt10, 
PXD021564	protein and signaling pathway responses to rhil-6 intervention before lobaplatin treatment in osteosarcoma cells using lc-ms/ms	PRIDE	homo sapiens 	Q Exactive Plus	Dataset with its publication pending	Qiong Ma	2021-02-24	human, osteosarcoma, rhil-6, lobaplatin, liquid chromatography-tandem mass spectrometry, 
PXD022019	the influence of delay in mononuclear cell isolation on acute myeloid leukemia phosphorylation profiles	PRIDE	homo sapiens 	Q Exactive HF; Q Exactive	Dataset with its publication pending	Connie Ramona Jimenez	2021-02-22	acute myeloid leukemia, aml, phosphoproteomics, phosphotyrosine, ischemia, oxidative stress, pre-analytical variables, tyrosine kinase, 
PXD021076	proteomics profiling of pediatric choroid plexus tumors	PRIDE	homo sapiens 	TripleTOF 5600	Dataset with its publication pending	Shahenda Mahmoud El-Naggar	2021-02-11	biology/disease-driven human proteome project (b/d-hpp), human proteome project, human, pediatric, cancer, tumor, choroid plexus, tissue, pappiloma, atypical, carcinoma, 
PXD023749	extracellular vesicles shed by follicular lymphoma b cells promote the polarization of bone marrow stromal cell niche	PRIDE	homo sapiens 	Orbitrap Eclipse	Dataset with its publication pending	Damarys Loew	2021-02-08	folicular lymphoma-derived extracellular vesicles, tumor niche, bone marrow stromal cells, 
PXD020079	ciita-transduced glioblastoma cells uncover a rich repertoire of clinically relevant tumor-associated hla-ii antigens	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Michal Bassani-Sternberg	2021-02-03	human immuno-peptidome project (hupo-hipp) (b/d-hpp), biology/disease-driven human proteome project (b/d-hpp), glioblastoma, antigen presentation, immunopeptidomics, ciita, 
PXD021683	sex determination of infant remains	PRIDE	homo sapiens 	Q Exactive	33475153	Nicolas A. Stewart	2021-01-28	amelogenin, tooth enamel, archaeology, perinate, sex determination, 
PXD022934	pten deficiency leads to proteasome addiction, a novel vulnerability in glioblastoma	MassIVE	homo sapiens	Orbitrap Fusion Lumos	no publication	Frank Furnari	2021-01-24	glioblastoma, proteasome, pten, organoids, neurospheres, 
PXD014612	abberant cathepsin s activity modulates the immune microenvironment in follicular lymphoma	PRIDE	homo sapiens 	Q Exactive HF-X	32330423	Christina Ludwig	2021-01-07	biomedical, cysteine-protease, follicular lymphoma, hematology, hotspot mutations, immune signaling, 
PXD020612	usp15 deubiquitinase safeguards hematopoiesis and genome integrity in hematopoietic stem cells and leukemia cells	PRIDE	homo sapiens 	Orbitrap Exploris 480	Dataset with its publication pending	Gaetano Gargiulo	2021-01-04	human, dna damage, ubiquitin, 
PXD023168	proteome of paediatric burn wound fluid collected via negative pressure wound therapy	PRIDE	homo sapiens 	TripleTOF 5600; TripleTOF 6600	33374033	Leila Cuttle	2021-01-04	npwt, burn, paediatric, blister fluid, exudate, effluent, oedema fluid, proteomics, swath, lc-ms/ms, 
PXD019785	high and low risk of adverse acute myeloid leukemia (aml)	PRIDE	homo sapiens 	Q Exactive	33349623	Frode Berven	2021-01-04	acute myeloid leukemia risk, 
PXD022518	nuclear condensation of nup98-fusion proteins drives leukemogenic gene expression nup98-fusion protein drive oncogenic gene expression via nuclear/biomolecular condensation	PRIDE	homo sapiens 	LTQ Orbitrap Velos; Q Exactive	Dataset with its publication pending	Florian Grebien	2020-12-23	aml, nup98, fusion protein, ap-ms, bicon-ms, condensate, 
PXD020696	ifitm3 amino acid mutants phosphoproteomics	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	33149299	Markus Muschen	2020-12-17	pdx b-all b-cell, 
PXD020697	ifitm3 bioid interactomes in b-all and mcl	PRIDE	homo sapiens 	Orbitrap Fusion	33149299	Markus Muschen	2020-12-17	human b-all mcl b-cells, 
PXD019708	definition of aberrant myb cbp/p300 complex in aml	PRIDE	homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Alex Kentsis	2020-12-17	myb, cbp/p300, aml,  lc-ms, proteomics, human, 
PXD021584	comparative analysis of systemic and tumor microenvironment proteomes of children with b-cell acute lymphocytic leukemia at diagnosis and after induction treatment.	PRIDE	homo sapiens 	Synapt HDMS	Dataset with its publication pending	Carolina Panis	2020-12-14	b-acute lymphocytic leukemia, chemotherapy, proteomics, induction phase., 
PXD018300	metabolic dependencies in mycn-driven neuroblastoma	PRIDE	homo sapiens 	Q Exactive HF	33284994	Hedwig E. Deubzer, Stefan Kempa	2020-12-11	cancer cell metabolism, de novo serine synthesis pathway, one carbon metabolism, cell death, therapy resistance, mycn, 
PXD022758	a proteomic approach to understand the clinical significance of acute myeloid leukemia-derived extracellular vesicles reflecting essential characteristics of leukemia	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Kwang Pyo Kim	2020-12-03	cell, aml, proteomics, evs, q-exactive, 
PXD022014	proteomic research on effect of eif4a1 inhibition in myc-amplified group 3 medulloblastoma	iProX	homo sapiens	Q Exactive	33299354	Yujie Tang	2020-12-03	proteomic, eif4a1, medulloblastoma, myc, group 3, 
PXD020116	quantitative proteome of infant stenotic ureters reveals extracellular matrix organization and oxidative stress dysregulation underlying ureteropelvic junction obstruction	iProX	homo sapiens	Q Exactive HF	32969194	Hongquan Geng	2020-11-30	proteomics, ureteropelvic junction obstruction, congenital hydronephrosis, extracellular matrix, oxidative stress, 
PXD021482	d283 med, a cell line derived from peritoneal metastatic medulloblastoma — a good choice for missing protein discovery	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	33210925	Siqi Liu	2020-11-26	chromosome-centric human proteome project (c-hpp), human proteome project, missing protein, lc-msms, d283 med cell, hpp, 
PXD017946	11q deletion or alk activity curbs dlg2 expression to maintain an undifferentiated state in neuroblastoma.	PRIDE	homo sapiens 	Orbitrap Fusion	32966799	Carina Sihlbom	2020-11-24	alk, neuroblastoma, dlg2, tumor suppressor, retinoic acid, erk, trk, ngf, snp, genomic profiles, whole genome sequencing, 
PXD021792	proteomics and phosphoproteomics on nb1 and imr32 neuroblastoma cells stimulated with alakal2	PRIDE	homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Ruth H. Palmer	2020-11-24	alkal2, neuroblastoma, nb, cancer, anaplastic lymphoma kinase, alk, tandem mass tag, tmt, phosphorylation, 
PXD017952	multi-omics profiling of paired primary and recurrent glioblastoma patient tissues	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Theo Luider	2020-11-17	glioblastoma, multi-omics, tumor progression, phosphoproteomics, transcriptomics, 
PXD015609	hnrnp 1 h/f drive rna g-quadruplex-mediated translation linked to genomic instability and therapy resistance in glioblastoma	PRIDE	homo sapiens 	LTQ Orbitrap	32461552	Stefania Millevoi	2020-11-11	human glioblastoma, g-quadruplex rna-protein interactions, ap-ms, orbitrap fusion, 
PXD016839	antileukemic activity of the vps34-in1 inhibitor in acute myeloid leukemia	PRIDE	homo sapiens 	LTQ Orbitrap	33093450	Didier Bouscary	2020-11-11	biomedical, orbitrap fusion, human molm-14 cells, vps34, vps34-in1, aml, l-asparaginase, autophagy, 
PXD021635	disruption of splicing, proliferation and stemness via prmt5 inhibition as a therapeutic strategy for gbm	PRIDE	homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Mike Tyers	2020-11-03	glioblastoma, proteomics, prmt5 inhibition, cancer, 
PXD022252	dual dna/protein tagging of open chromatin unveils dynamics of epigenomic landscapes in leukemia	PRIDE	homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Jonathan Lee	2020-11-01	human, hematopoietic cancer cells, tmt, idapt, 
PXD021890	an1 type zinc finger protein 3 zfand3 is part of a transcriptional complex that drives glioblastoma invasion	MassIVE	homo sapiens	Q Exactive Plus	no publication	Simone Niclou	2020-10-08	zfand3, transcriptional complex, glioblastoma, cell invasion, 
